,id,FIO1,FIO2
226,43741,Ададурова Инна Владиславовна,Танич Гульнара Николаевна
227,43827,Ховреин Валерий Петрович,Горская Алиса Васильевна
228,43828,Головатинский Геннадий Робертович,Абахова Кира Егоровна
229,44052,Нездольцев Дамир Русланович,Ганюшкина Антонина Андреевна
230,44202,Дриневский Станислав Андреевич,Хургина Юлия Дамировна
231,44333,Извекова Полина Владиславовна,Никеров Петр Маратович
232,44481,Коко Яков Юрьевич,Филлипова Альбина Руслановна
233,44572,Алексейцев Степан Дмитриевич,Чайков Константин Иванович
234,44749,Парщиков Герман Артурович,Запольская Гульнара Викторовна
235,44787,Шайхисламова Римма Маратовна,Собенникова Кира Степановна
236,45508,Корзухина Виктория Яковлевна,Моликов Артур Марселевич
237,45738,Федорозюк Светлана Денисовна,Безгусков Виктор Александрович
238,45936,Саюталина Кристина Евгеньевна,Силкова Людмила Вадимовна
239,46018,Номинханова Ольга Степановна,Хусанов Владимир Романович
240,46375,Малеванный Михаил Михаилович,Печаткин Тимофей Германович
241,46532,Бояринцев Ильдар Ильдарович,Азарнов Олег Семенович
242,46575,Бормотова Ксения Ивановна,Жебунев Валентин Анатольевич
243,46743,Бекбулатов Роман Олегович,Лобода Лариса Владимировна
244,46824,Белишкина Анжелика Васильевна,Роганкова Евгения Рамилевна
245,46919,Цыцына Кира Николаевна,Слюсарь Вероника Яновна
246,47124,Макагонов Герман Станиславович,Шаров Марсель Владиславович
247,47379,Байматова Виктория Анатольевна,Карсанов Данил Ильич
248,47521,Коржук Лариса Ильинична,Правдюк Дмитрий Валентинович
249,47533,Невров Андрей Никитович,Куплеваская Яна Михаиловна
250,47805,Семочкин Ярослав Валентинович,Модина Олеся Руслановна
251,47914,Кривов Константин Вадимович,Самиева Мария Артемовна
252,47962,Алисултанова Жанна Глебовна,Ярченко Антонина Даниловна
253,48046,Дмитрюк Марина Германовна,Сегалов Артур Григорьевич
254,48663,Антоненков Роберт Федорович,Щеголев Федор Максимович
255,49058,Канавин Рамиль Альбертович,Тупомордов Марат Вячеславович
256,49096,Бежик Федор Русланович,Коврижкин Владимир Данилович
257,49235,Лихобабенко Полина Павловна,Русская Алина Борисовна
258,49267,Бледных Александр Робертович,Тулин Геннадий Вадимович
259,49741,Апусева Наталья Станиславовна,Швырев Глеб Олегович
260,49896,Макаршин Игорь Артемович,Анащенкова Кира Альбертовна
261,50397,Шпагин Радик Ринатович,Суринов Семен Рамилевич
262,51237,Джумалиева Лидия Яновна,Канская Евгения Артуровна
263,51277,Свалов Ян Аркадьевич,Тепляков Борис Русланович
264,51651,Семенычева Любовь Федоровна,Буйносов Анатолий Максимович
265,51987,Амигут Сергей Семенович,Хамаев Леонид Никитович
266,52186,Ревунов Семен Витальевич,Зонтикова Вероника Романовна
267,52201,Бизеева Ксения Владимировна,Чертков Николай Аркадьевич
268,52490,Ломакин Данил Данилович,Гриханова Инна Вячеславовна
269,53113,Друина Карина Аркадьевна,Бабинцев Игорь Тимофеевич
270,53114,Стадничук Аркадий Дамирович,Богина Гульнара Ильдаровна
271,53237,Скоробогатова Элина Леонидовна,Брондуков Владислав Александрович
272,53432,Мифтахова Кристина Ильдаровна,Аристакесова Анна Филипповна
273,53572,Стемпковская Юлия Викторовна,Юлмухаметов Виталий Русланович
274,53699,Косубаева Тамара Михаиловна,Сильверстов Валентин Артемович
275,53707,Ахромеева Алина Ивановна,Тяжлов Ринат Владиславович
276,53867,Мамушкин Эдуард Антонович,Бесчетвертнов Альберт Дмитриевич
277,54105,Переладова Дарья Вячеславовна,Шустова Альбина Степановна
278,54183,Безсало Андрей Степанович,Захаржевская Надежда Ярославовна
279,54306,Фоминцев Алексей Васильевич,Грушевский Сергей Геннадьевич
280,54401,Босторин Леонид Глебович,Голыгин Константин Ильич
281,54449,Летунов Михаил Ильдарович,Ясный Ильдар Станиславович
282,55308,Святова Ольга Тимофеевна,Дорошенко Станислав Ярославович
283,55591,Зудов Илья Кириллович,Шадрова Любовь Владимировна
284,55812,Скрыпин Сергей Николаевич,Полумордвинова Ирина Игоревна
285,55985,Козлович Эльвира Руслановна,Будищева Марина Ивановна
286,56121,Прилуков Иван Ильдарович,Тептин Георгий Артурович
287,56122,Яночка Римма Артуровна,Савоничев Петр Вадимович
288,56324,Бесстрашникова Вероника Яковлевна,Васютин Денис Николаевич
289,56343,Шлындина Ирина Владимировна,Зиньковский Яков Александрович
290,56379,Мелконян Любовь Ринатовна,Бакулин Владислав Георгиевич
291,56385,Евстюгов Рамиль Тимурович,Недоквасова Светлана Денисовна
292,56450,Онуфриева Людмила Робертовна,Дудник Виктор Яковлев
293,56824,Ежикова Вероника Аркадьевна,Таранина Ксения Григорьевна
294,57037,Подойникова Светлана Ильдаровна,Воеводкин Анатолий Сергеевич
295,57050,Кобец Вадим Яковлев,Пырьева Анна Руслановна
296,57063,Ващенко Гульнара Павловна,Былин Владимир Александрович
297,57194,Белев Радик Борисович,Аринкина Олеся Германовна
298,57261,Добренькова Алла Евгеньевна,Русанова Вероника Аркадьевна
299,57361,Смолина Лилия Тимофеевна,Девятовский Марсель Геннадьевич
300,57666,Старилова Раиса Тимуровна,Позгалева Карина Артемовна
301,57815,Лужанская Валентина Юрьевна,Петухова Ольга Филипповна
302,58305,Шишов Степан Алексеевич,Маковецкая Лидия Леонидовна
303,58309,Фролкова Инна Геннадьевна,Подскребкина Александра Максимовна
304,59102,Бикмуллин Данил Робертович,Луконина Валерия Яновна
305,59261,Хахичев Александр Олегович,Астапович Федор Данилович
306,59271,Слаповский Алексей Геннадьевич,Хамидуллина Евгения Владиславовна
307,59520,Кипарисова Элина Васильевна,Хухрякова Елена Аркадьевна
308,59801,Ахромеева Алина Ивановна,Соломеина Кристина Георгиевна
309,59970,Каменских Сергей Федорович,Поручиков Анатолий Константинович
310,60020,Таюпова Надежда Алексеевна,Чубариков Дмитрий Романович
311,60073,Вахрамов Ильдар Тимурович,Коржов Василий Дамирович
312,60141,Чадин Егор Тимофеевич,Парнякова Марина Борисовна
313,60331,Мурагин Василий Марселевич,Харенко Тимур Филиппович
314,60774,Туисов Ринат Маратович,Елизаветина Диана Ильдаровна
315,60807,Шоргина Юлия Александровна,Акатьева Раиса Ярославовна
316,61055,Волшебная Диана Васильевна,Жемчужникова Жанна Викторовна
317,61300,Бордукова Алина Дамировна,Лиховская Татьяна Андреевна
318,61339,Арзуманова Альбина Германовна,Мамичев Ян Семенович
319,61670,Чуркин Дамир Федорович,Борусевич Анатолий Александрович
320,61824,Ахромеева Алина Ивановна,Дудыкина Мария Романовна
321,61943,Бурксер Тимур Данилович,Твердоногов Валентин Николаевич
322,62416,Максаковский Радик Данилович,Янков Степан Глебович
323,62868,Роскошных Кристина Глебовна,Страментов Ильдар Данилович
324,63123,Миримская Татьяна Олеговна,Клименченок Егор Юрьевич
325,63252,Соломахина Лидия Ильдаровна,Головастов Тимур Васильевич
326,63363,Табурин Роман Янович,Демишев Семен Петрович
327,63458,Ерлыкалова Альбина Филипповна,Казьмина Лилия Сергеевна
328,63496,Плюхин Леонид Михаилович,Скорокладов Антон Артурович
329,63600,Гайнутдина Валентина Семеновна,Удодова Элина Аркадьевна
330,63691,Красовский Николай Вадимович,Кадук Татьяна Сергеевна
331,63786,Керенская Анастасия Яновна,Батыров Роберт Марселевич
332,63823,Боковиков Дамир Ярославович,Бирючева Гульнара Аркадьевна
333,63973,Маркехина Алина Дмитриевна,Спицына Татьяна Игоревна
334,64104,Заднепровская Эльвира Антоновна,Атдаева Раиса Филипповна
335,64224,Зульфикарова Олеся Дмитриевна,Каплан Марат Эдуардович
336,64472,Куркина Дарья Валентиновна,Алимжанов Марсель Тимофеевич
337,64776,Дусмухаметова Диана Егоровна,Волынец Ксения Валерьевна
338,64827,Иванович Артур Марселевич,Столичный Николай Дмитриевич
339,64833,Ганов Яков Робертович,Посадова Любовь Петровна
340,65923,Леушкин Яков Павлович,Покотилова Марина Дмитриевна
341,66034,Клешова Жанна Ильдаровна,Сурмин Валентин Ярославович
342,66086,Бубукина Алена Германовна,Ероханова Жанна Витальевна
343,66128,Репрев Петр Альбертович,Арменская Лилия Марселевна
344,66267,Башнина Антонина Глебовна,Павлючиков Максим Филиппович
345,66311,Шаройко Римма Анатольевна,Рыбушкин Альберт Артемович
346,66454,Заборовский Ян Марселевич,Прудкина Кристина Георгиевна
347,66567,Абалешев Степан Геннадьевич,Милина Валентина Леонидовна
348,66658,Гавриленкова Валентина Николаевна,Андрусива Яна Олеговна
349,66713,Булацкий Альберт Владимирович,Друзин Дмитрий Иванович
350,66941,Калинчук Вячеслав Радикович,Ерошенко Любовь Германовна
351,67005,Жбанков Борис Сергеевич,Ильиченко Лариса Владиславовна
352,67086,Рощупкина Евгения Семеновна,Масорина Жанна Ильинична
353,67252,Кравец Владимир Кириллович,Явдохина Алла Германовна
354,67335,Вапирова Марина Рамилевна,Долинский Данил Леонидович
355,67350,Фрадков Герман Вячеславович,Чикишев Семен Ильдарович
356,67588,Бахтеярова Оксана Федоровна,Шпилевский Вадим Васильевич
357,68454,Ашапатов Егор Артурович,Стрешнев Вадим Романович
358,68937,Бегельдинов Марсель Вадимович,Гетманов Руслан Иванович
359,69336,Бахар Олег Егорович,Гулямова Людмила Павловна
360,69538,Свалов Вадим Ярославович,Кашлев Владислав Никитович
361,69632,Гниломедов Егор Витальевич,Извеков Павел Степанович
362,69649,Феник Алла Викторовна,Бекишев Александр Артурович
363,69670,Расщупкина Виктория Кирилловна,Минтусова Олеся Владимировна
364,69717,Ширкова Карина Владиславовна,Скрыпицин Сергей Федорович
365,69986,Шуман Юлия Константиновна,Лощилина Надежда Александровна
366,70049,Яшина Полина Евгеньевна,Герасимовская Ксения Дамировна
367,70049,Федова Анжелика Вадимовна,Вальдовский Альберт Ефимович
368,70347,Адельханова Елена Владиславовна,Лапаева Анна Георгиевна
369,70397,Бескровный Алексей Васильевич,Куриленко Георгий Михаилович
370,70446,Казанович Екатерина Ефимовна,Боженкова Алина Никитовна
371,70523,Клыкова Инна Кирилловна,Аптраков Сергей Вадимович
372,70562,Заева Раиса Эдуардовна,Пархоменко Филипп Радикович
373,70583,Логунова Алина Ринатовна,Ожгибоков Олег Вадимович
374,70633,Амплеев Яков Владимирович,Белимов Владислав Радикович
375,70871,Андрияшина Марина Германовна,Ведмедь Ефим Антонович
376,71040,Власенко Антонина Кирилловна,Агарунова Эльвира Марселевна
377,71063,Беер Станислав Сергеевич,Умнова Элина Андреевна
378,71274,Морозков Руслан Владимирович,Каверный Радик Маратович
379,71626,Жидович Игорь Иванович,Донской Кирилл Яковлев
380,71878,Клюшин Петр Данилович,Узденова Ангелина Валентиновна
381,72488,Щербатенко Федор Янович,Емцев Рамиль Тимурович
382,72626,Войтинский Никита Ильич,Панченкова Екатерина Эдуардовна
383,72717,Тимергалиева Элина Антоновна,Кузьмикова Олеся Робертовна
384,73403,Кремнева Светлана Владиславовна,Лобачев Андрей Евгеньевич
385,73925,Ульянищева Алена Федоровна,Папко Жанна Филипповна
386,74310,Мелкова Вероника Борисовна,Савранская Мария Тимофеевна
387,74337,Дроботова Алла Тимофеевна,Люкшинов Станислав Маратович
388,74466,Подречнева Галина Федоровна,Костолевская Алина Маратовна
389,74479,Тимирев Марсель Тимофеевич,Барбанова Алина Яковлевна
390,74482,Милонов Петр Витальевич,Скоблилов Илья Алексеевич
391,74955,Тонкин Николай Ильич,Скурин Григорий Григорьевич
392,74981,Бахрушкина Дарья Олеговна,Новокшенова Людмила Николаевна
393,75072,Чернакова Виктория Ильинична,Кадышева Любовь Маратовна
394,75276,Следзевский Марсель Дмитриевич,Перфирьев Владислав Аркадьевич
395,75295,Шукенова Юлия Владиславовна,Тодорова Альбина Рамилевна
396,75720,Аракин Григорий Романович,Абанькина Эльмира Артемовна
397,75787,Маклюк Яна Витальевна,Семагина Инна Марселевна
398,75962,Бердарь Вадим Степанович,Киренский Марсель Николаевич
399,76128,Нилов Вячеслав Романович,Эзова Надежда Ильинична
400,76146,Сопровская Олеся Тимуровна,Яшутина Любовь Викторовна
